                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65503,                0.60444,                 1.0402,                      1,                0.98186,                0.99468,                0.80577,                0.74761,                0.49656,                0.98687,               0.001307,               0.001307,               0.001307
                     37,                0.69819,                0.56671,                  1.019,                      1,                 0.9659,                0.98517,                0.83131,                0.71637,                0.47733,                0.96012,              0.0012872,              0.0012872,              0.0012872
                     38,                0.58988,                0.48103,                0.97174,                      1,                0.98282,                0.99468,                0.82271,                0.68366,                0.45867,                0.96143,              0.0012674,              0.0012674,              0.0012674
                     39,                0.58526,                0.46748,                0.95485,                0.98383,                0.99733,                0.99452,                 0.8307,                0.73302,                0.49209,                0.97729,              0.0012476,              0.0012476,              0.0012476
                     40,                0.63135,                0.48271,                0.99861,                0.98359,                0.98254,                0.99322,                0.80543,                0.74527,                 0.4991,                0.98181,              0.0012278,              0.0012278,              0.0012278
                     41,                0.70402,                0.52569,                0.99095,                0.96312,                0.90164,                0.95966,                0.76953,                0.87113,                0.65854,                 1.0508,               0.001208,               0.001208,               0.001208
                     42,                0.68163,                0.45819,                 1.0558,                0.95147,                0.96425,                0.97341,                0.74596,                0.85209,                0.57446,                 1.0711,              0.0011882,              0.0011882,              0.0011882
                     43,                0.61819,                0.46981,                0.98181,                0.93738,                0.98361,                0.97283,                0.78807,                0.76534,                0.52006,                 1.0169,              0.0011684,              0.0011684,              0.0011684
                     44,                0.58067,                0.45708,                 0.9454,                0.99425,                      1,                  0.995,                0.84279,                 0.6607,                0.39678,                0.97181,              0.0011486,              0.0011486,              0.0011486
                     45,                0.59536,                0.44302,                0.99214,                      1,                0.99785,                  0.995,                0.84957,                0.68548,                0.40324,                0.95566,              0.0011288,              0.0011288,              0.0011288
                     46,                0.57643,                0.41787,                0.97185,                0.99863,                0.98361,                0.99468,                0.83731,                0.66151,                0.41236,                0.94131,               0.001109,               0.001109,               0.001109
                     47,                0.66608,                 0.4926,                0.96819,                0.99917,                0.98361,                0.99484,                0.83919,                0.68141,                0.41543,                0.96191,              0.0010892,              0.0010892,              0.0010892
                     48,                0.60778,                0.41989,                0.96424,                 0.9961,                0.98361,                0.98546,                0.83625,                0.74353,                0.46484,                 1.0159,              0.0010694,              0.0010694,              0.0010694
                     49,                0.58079,                0.50068,                0.98551,                0.99801,                0.98361,                0.98512,                0.84492,                0.73677,                0.46094,                 1.0147,              0.0010496,              0.0010496,              0.0010496
                     50,                0.52364,                0.40676,                 0.9371,                      1,                0.98288,                0.98512,                0.83383,                0.77099,                  0.506,                 0.9962,              0.0010298,              0.0010298,              0.0010298
                     51,                0.58415,                0.40297,                0.92985,                0.99867,                0.98361,                0.98566,                0.84572,                0.66287,                0.47104,                0.95557,                0.00101,                0.00101,                0.00101
                     52,                0.59034,                0.41086,                0.94951,                0.99693,                0.98361,                 0.9903,                0.84492,                0.68874,                0.48511,                0.96963,              0.0009902,              0.0009902,              0.0009902
                     53,                0.54768,                0.40868,                0.93427,                0.99897,                0.98361,                0.99218,                0.85288,                0.64384,                0.46827,                0.95955,              0.0009704,              0.0009704,              0.0009704
                     54,                0.60411,                0.46293,                0.95743,                0.99918,                0.98361,                0.99371,                0.84177,                 0.7052,                0.42493,                0.99082,              0.0009506,              0.0009506,              0.0009506
                     55,                0.52427,                0.38525,                0.96186,                0.99897,                0.98361,                0.99384,                0.82714,                0.67182,                0.42918,                0.96485,              0.0009308,              0.0009308,              0.0009308
                     56,                0.59117,                0.42416,                0.95562,                0.99862,                0.98361,                0.98706,                  0.851,                0.64203,                0.38026,                0.94457,               0.000911,               0.000911,               0.000911
                     57,                0.53312,                0.37854,                0.94239,                0.99749,                0.98361,                0.98845,                0.85429,                0.64692,                 0.3906,                0.93272,              0.0008912,              0.0008912,              0.0008912
                     58,                0.50146,                0.38753,                0.93216,                0.99826,                      1,                  0.995,                0.84692,                0.65385,                0.33775,                0.92586,              0.0008714,              0.0008714,              0.0008714
                     59,                0.58565,                0.51129,                0.97067,                0.99888,                      1,                  0.995,                0.84887,                0.67398,                0.38572,                 0.9244,              0.0008516,              0.0008516,              0.0008516
                     60,                0.52722,                0.40977,                0.92565,                0.98321,                0.98361,                0.98405,                0.85839,                0.70093,                0.37862,                0.95927,              0.0008318,              0.0008318,              0.0008318
                     61,                0.55637,                0.40399,                 0.9355,                0.99878,                      1,                  0.995,                 0.8595,                0.68854,                0.36953,                0.95538,               0.000812,               0.000812,               0.000812
                     62,                0.55681,                0.40524,                 0.9695,                0.99872,                      1,                  0.995,                0.87365,                0.65937,                 0.3342,                0.96142,              0.0007922,              0.0007922,              0.0007922
                     63,                0.49287,                0.37953,                0.94993,                0.99746,                      1,                  0.995,                0.86435,                0.67821,                0.34855,                0.97571,              0.0007724,              0.0007724,              0.0007724
                     64,                0.54094,                 0.4248,                0.98829,                0.99886,                      1,                  0.995,                0.85842,                0.66196,                0.34694,                0.96425,              0.0007526,              0.0007526,              0.0007526
                     65,                0.53327,                0.39454,                0.95621,                0.98116,                0.98361,                0.98122,                0.85591,                0.64968,                0.34142,                0.94019,              0.0007328,              0.0007328,              0.0007328
                     66,                0.51202,                0.39108,                0.94187,                0.99803,                      1,                  0.995,                0.85071,                0.67398,                0.34588,                0.98166,               0.000713,               0.000713,               0.000713
                     67,                0.50165,                 0.3799,                0.93484,                0.99839,                      1,                  0.995,                0.84679,                0.67669,                0.35777,                 1.0018,              0.0006932,              0.0006932,              0.0006932
                     68,                0.49738,                0.34235,                0.91916,                0.99852,                      1,                  0.995,                0.86585,                0.66832,                0.33279,                0.97279,              0.0006734,              0.0006734,              0.0006734
                     69,                0.50599,                0.34964,                0.93868,                0.99806,                0.98361,                0.99484,                0.86998,                0.64937,                0.34514,                0.96044,              0.0006536,              0.0006536,              0.0006536
                     70,                0.54812,                0.38044,                0.95901,                0.99918,                      1,                  0.995,                0.87525,                0.64731,                0.33352,                0.96632,              0.0006338,              0.0006338,              0.0006338
                     71,                0.50515,                0.35632,                0.94248,                0.99898,                      1,                  0.995,                0.86712,                0.64484,                0.32976,                0.94699,               0.000614,               0.000614,               0.000614
                     72,                0.51004,                0.36624,                0.96114,                0.99864,                      1,                  0.995,                0.87748,                0.61463,                0.32347,                0.91037,              0.0005942,              0.0005942,              0.0005942
                     73,                0.53507,                0.55901,                0.95572,                0.99862,                      1,                  0.995,                0.88003,                0.61039,                0.31437,                0.90843,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.4708,                0.35942,                0.90365,                0.99897,                      1,                  0.995,                0.88328,                0.58235,                0.29012,                0.91202,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46064,                0.32662,                0.92034,                0.99904,                      1,                  0.995,                0.87904,                0.57922,                0.28341,                0.91207,              0.0005348,              0.0005348,              0.0005348
                     76,                0.48865,                0.34507,                0.93458,                0.99937,                      1,                  0.995,                0.88462,                0.61409,                0.32056,                0.91783,               0.000515,               0.000515,               0.000515
                     77,                0.48333,                0.39653,                0.93472,                0.99922,                      1,                  0.995,                 0.8804,                0.64989,                0.31513,                0.93838,              0.0004952,              0.0004952,              0.0004952
                     78,                0.41796,                0.65327,                0.84078,                 0.9992,                      1,                  0.995,                0.87158,                0.63954,                0.30071,                0.93745,              0.0004754,              0.0004754,              0.0004754
                     79,                0.44217,                0.33398,                 0.9275,                0.99826,                      1,                  0.995,                 0.8739,                0.63355,                0.31711,                0.92824,              0.0004556,              0.0004556,              0.0004556
                     80,                0.47838,                0.35703,                 0.9227,                0.99905,                      1,                  0.995,                0.86158,                 0.6607,                0.35142,                0.93411,              0.0004358,              0.0004358,              0.0004358
                     81,                0.44475,                0.34506,                0.92065,                0.98267,                      1,                0.99403,                0.86953,                0.59293,                0.31553,                0.90686,               0.000416,               0.000416,               0.000416
                     82,                0.51957,                0.34529,                0.94211,                0.99186,                      1,                  0.995,                0.87306,                0.57151,                0.31618,                0.91336,              0.0003962,              0.0003962,              0.0003962
                     83,                0.46709,                0.36694,                0.91253,                0.99895,                      1,                  0.995,                0.86272,                0.59225,                0.31236,                0.93352,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42781,                0.32607,                0.93969,                0.99927,                      1,                  0.995,                0.86394,                0.66251,                 0.2952,                 1.0046,              0.0003566,              0.0003566,              0.0003566
                     85,                0.53034,                0.35823,                0.99566,                0.99902,                      1,                  0.995,                  0.868,                0.63851,                0.29979,                0.97606,              0.0003368,              0.0003368,              0.0003368
                     86,                0.38106,                0.69705,                0.80986,                0.99888,                      1,                  0.995,                0.86525,                0.63989,                0.29912,                0.96959,               0.000317,               0.000317,               0.000317
                     87,                0.44925,                0.33606,                0.92348,                0.99888,                      1,                  0.995,                0.86165,                 0.6373,                  0.289,                0.96307,              0.0002972,              0.0002972,              0.0002972
                     88,                0.42623,                0.31242,                0.93346,                0.99917,                      1,                  0.995,                0.86334,                0.65802,                0.27967,                0.96493,              0.0002774,              0.0002774,              0.0002774
